Percy Jackson & the Olympians: The Lightning Thief	"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Grand Theft Parsons	"Comedy, Drama"
Grandma	Comedy
Grandma's Boy	Comedy
The Grapes of Wrath	"Classics, Drama"
Grass	"Documentary, Drama, Special Interest"
The Grass Harp	"Comedy, Drama"
The Grass Is Greener	"Classics, Comedy, Romance"
Grass Is Greener	Documentary
Grassroots	"Comedy, Drama, Special Interest"
Grateful Dawg	"Documentary, Musical & Performing Arts"
Grave Encounters	Horror
Grave Encounters 2	Horror
Grave of the Fireflies (Hotaru no haka)	"Animation, Anime & Manga, Art House & International, Drama"
The Gravedancers	"Horror, Mystery & Suspense"
Gravity	"Drama, Science Fiction & Fantasy"
Gravy	"Comedy, Horror"
Gray Lady Down	"Action & Adventure, Drama, Mystery & Suspense"
Gray's Anatomy	"Art House & International, Comedy, Drama, Musical & Performing Arts"
Grease	"Comedy, Musical & Performing Arts, Romance"
Grease 2	"Comedy, Musical & Performing Arts, Romance"
Grease: Live!	"Musical & Performing Arts, Television"
Greaser's Palace	"Classics, Comedy, Drama, Western"
A Great Day in Harlem	"Documentary, Musical & Performing Arts, Special Interest"
The Great Debaters	Drama
The Great Dictator	"Classics, Comedy, Drama"
Great Expectations	"Classics, Drama"
Great Expectations	"Classics, Drama"
The Great Gabbo	"Classics, Drama"
The Great Muppet Caper	"Comedy, Kids & Family, Musical & Performing Arts"
The Great New Wonderful	"Comedy, Drama"
The Great Outdoors	Comedy
The Great Raid	"Action & Adventure, Drama"
The Great Santini	Drama
The Great White Hype	"Comedy, Drama"
Great World of Sound	"Comedy, Drama"
The Great Ziegfeld	"Classics, Drama, Musical & Performing Arts, Romance"
Greater	"Drama, Sports & Fitness"
The Greatest Game Ever Played	Drama
The Greatest Show on Earth	"Classics, Drama, Kids & Family, Romance"
The Greatest Story Ever Told	"Classics, Drama, Faith & Spirituality"
Greedy	Comedy
Greedy Lying Bastards	"Documentary, Special Interest"
Green Book	Drama
Green Card	"Comedy, Romance"
Green Dragon	Drama
Green for Danger	"Classics, Drama, Mystery & Suspense"
The Green Hornet	"Action & Adventure, Comedy, Science Fiction & Fantasy"
Green Lantern	"Action & Adventure, Science Fiction & Fantasy"
Green Lantern: First Flight	"Action & Adventure, Animation, Science Fiction & Fantasy"
The Green Mile	"Drama, Mystery & Suspense, Science Fiction & Fantasy"
The Green Pastures	"Classics, Comedy, Drama"
Green Room	Horror
The Green Slime	"Drama, Horror, Science Fiction & Fantasy"
Green Street Hooligans	Drama
Greenberg	"Comedy, Drama"
Greener Grass	Comedy
Greenfingers	"Comedy, Drama"
Greenwich Village: Music That Defined a Generation	"Documentary, Musical & Performing Arts"
Greetings From Tim Buckley	Drama
Gregory Crewdson: Brief Encounters	"Documentary, Musical & Performing Arts"
Gregory's Girl	"Art House & International, Comedy, Drama, Romance"
Gremlins	"Comedy, Horror, Science Fiction & Fantasy"
Gremlins 2: The New Batch	"Comedy, Horror, Science Fiction & Fantasy"
Greta	Drama
Gretchen	Comedy
Grey Gardens	"Documentary, Special Interest"
Grey Gardens	"Drama, Television"
Grey Owl	Drama
"Greystoke: The Legend of Tarzan, Lord of the Apes"	"Action & Adventure, Art House & International, Drama, Kids & Family"
Gridiron Gang	"Action & Adventure, Drama"
Il Grido (The Cry)	"Art House & International, Drama"
Griff the Invisible	"Art House & International, Comedy, Drama, Romance"
The Grifters	"Drama, Mystery & Suspense"
Grigris	Drama
Gringo	"Action & Adventure, Comedy, Drama"
Gringo Trails	"Action & Adventure, Documentary, Drama"
Touchez Pas au Grisbi (Hands Off the Loot)	"Art House & International, Drama, Mystery & Suspense"
Grizzly Man	Documentary
Le fils de l'épicier (The Grocer's Son)	"Art House & International, Drama"
The Groomsmen	Comedy
Groove	Drama
Gross Anatomy	"Comedy, Drama"
Grosse Pointe Blank	"Action & Adventure, Comedy, Drama, Mystery & Suspense"
Ground Control	"Action & Adventure, Drama, Mystery & Suspense"
Groundhog Day	"Comedy, Science Fiction & Fantasy, Special Interest, Romance"
Growing Up Smith (Good Ol' Boy)	"Comedy, Drama, Kids & Family"
Grown Up Movie Star	"Comedy, Drama"
Grown Ups	Comedy
Grown Ups 2	Comedy
The Grudge 2	"Horror, Mystery & Suspense"
Grudge Match	"Comedy, Drama, Sports & Fitness"
Grumpier Old Men	Comedy
Grumpy Cat's Worst Christmas Ever	Comedy
Grumpy Old Men	"Comedy, Drama"
In Bloom	Drama
GTFO: Get the F&#% Out	Documentary
Guardians of the Galaxy	"Action & Adventure, Science Fiction & Fantasy"
Guardians of the Galaxy Vol. 2	"Action & Adventure, Comedy, Science Fiction & Fantasy"
Guarding Tess	"Comedy, Mystery & Suspense"
Güeros	Comedy
Guerrilla: The Taking of Patty Hearst	Documentary
Guess Who	Comedy
Guess Who's Coming to Dinner	"Classics, Comedy, Drama, Romance"
Guest of Cindy Sherman	"Documentary, Musical & Performing Arts"
Guidance	Comedy
The Guilty	"Drama, Mystery & Suspense"
Guilty as Sin	"Drama, Mystery & Suspense"
Guilty by Suspicion	Drama
Guilty Of Romance	"Art House & International, Drama, Mystery & Suspense"
Gulliver's Travels	"Action & Adventure, Comedy, Science Fiction & Fantasy"
The Gumball Rally	"Action & Adventure, Comedy"
Gun Hill Road	Drama
Gun Shy	Comedy
Gun Shy	Action & Adventure
Guncrazy	"Action & Adventure, Drama, Mystery & Suspense"
Gunfight at the O.K. Corral	"Action & Adventure, Classics, Western"
Gunga Din	"Action & Adventure, Classics, Comedy, Drama"
Gunless	"Action & Adventure, Comedy, Western"
Gunnin' for That #1 Spot	"Documentary, Sports & Fitness"
The Guns of Navarone	"Action & Adventure, Art House & International, Classics, Drama"
Guru	"Art House & International, Drama"
Gut	"Horror, Mystery & Suspense"
Guy and Madeline on a Park Bench	"Drama, Musical & Performing Arts"
Guy X	Comedy
Guys and Balls	"Art House & International, Comedy, Drama, Sports & Fitness"
Guys and Dolls	"Classics, Comedy, Drama, Musical & Performing Arts"
Guzaarish	"Drama, Romance"
Gwen	"Horror, Mystery & Suspense"
Gymkata	"Action & Adventure, Drama"
Gypsy 83	"Art House & International, Comedy, Drama"
When the Road Bends: Tales of a Gypsy Caravan	"Documentary, Musical & Performing Arts, Special Interest"
H	"Art House & International, Drama, Mystery & Suspense"
H2: Halloween II	Horror
Ha-shoter (Policeman)	"Art House & International, Drama"
Habermann	"Art House & International, Drama"
Hachi: A Dog's Tale	"Drama, Kids & Family"
Hackers	"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
Hacksaw Ridge	"Action & Adventure, Drama"
Hagazussa: A Heathen's Curse (Hagazussa)	"Art House & International, Horror"
Haiku Tunnel	"Art House & International, Comedy"
"Hail, Caesar!"	Comedy
"Je Vous Salue, Marie (Hail Mary)"	"Art House & International, Drama, Special Interest, Faith & Spirituality"
Hail the Conquering Hero	"Classics, Comedy, Drama"
Hair	"Comedy, Drama, Musical & Performing Arts"
Hair High	"Animation, Comedy, Horror, Romance"
HairBrained	"Comedy, Drama"
Hairspray	"Comedy, Musical & Performing Arts"
"Hale County This Morning, This Evening"	Documentary
Half Light	"Drama, Mystery & Suspense, Science Fiction & Fantasy"
Half a Sixpence	"Classics, Musical & Performing Arts, Romance"
Half Baked	Comedy
Half Magic	Comedy
Half Nelson	Drama
Half of a Yellow Sun	Drama
Half Past Dead	Action & Adventure
Hall Pass	Comedy
Hallowed Ground	Horror
Halloween	Horror
Halloween	Horror
Halloween 4: The Return of Michael Myers	Horror
Halloween 5: The Revenge of Michael Myers	Horror
Halloween H20	Horror
Halloween II	"Drama, Horror"
Halloween III: Season of the Witch	"Horror, Science Fiction & Fantasy"
Halloween: Resurrection	Horror
Halloween - The Curse of Michael Myers (Halloween 6)	"Horror, Kids & Family"
Halloweentown	"Comedy, Kids & Family, Science Fiction & Fantasy"
Halls of Montezuma	"Action & Adventure, Classics, Drama"
Hamburger Hill	"Action & Adventure, Drama"
Hamlet 2	Comedy
Hammer Of The Gods	Action & Adventure
Hammett	"Action & Adventure, Drama, Mystery & Suspense"
Hampstead	"Comedy, Drama, Romance"
Hancock	"Action & Adventure, Comedy, Drama"
The Handmaid's Tale	"Drama, Science Fiction & Fantasy"
Hands of Stone	"Action & Adventure, Drama"
Handsome Harry	Drama
Hang 'em High	"Classics, Drama, Western"
Hangar 10	"Horror, Mystery & Suspense, Science Fiction & Fantasy"
Hangin' with the Homeboys	"Comedy, Drama"
Hanging Up	"Comedy, Drama"
Hangman	Horror
Hangman	"Drama, Mystery & Suspense"
Hangmen Also Die	Classics
Hanky Panky	"Action & Adventure, Comedy, Drama, Mystery & Suspense"
Hanna	"Action & Adventure, Mystery & Suspense"
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour	"Documentary, Kids & Family, Musical & Performing Arts"
Hannah and Her Sisters	"Comedy, Drama, Romance"
Hannah Arendt	Drama
Hannah Free	"Drama, Gay & Lesbian"
Hannah Gadsby: Nanette	Comedy
Hannah Montana: The Movie	"Comedy, Kids & Family"
Hannah Takes the Stairs	"Art House & International, Comedy, Drama"
Hannibal Buress: Comedy Camisado	"Comedy, Television"
Hannibal Rising	"Drama, Horror, Mystery & Suspense"
Hanover Street	"Action & Adventure, Drama, Romance"
Hans Christian Andersen	"Classics, Kids & Family, Musical & Performing Arts, Romance"
Hansel and Gretel: Witch Hunters	"Action & Adventure, Comedy"
The Happiest Millionaire	"Comedy, Drama, Kids & Family, Musical & Performing Arts"
Happily N'ever After	"Animation, Comedy, Kids & Family, Science Fiction & Fantasy"
The Happiness of the Katakuris	"Art House & International, Comedy, Drama, Horror, Musical & Performing Arts"
Happy Accidents	"Comedy, Drama, Romance"
Happy Anniversary	Comedy
Happy as Lazzaro (Lazzaro felice)	"Art House & International, Drama"
Happy Birthday to Me	"Art House & International, Horror"
Happy Campers	Comedy
Happy Christmas	Drama
Happy Death Day	Horror
Happy Death Day 2U	Horror
Happy Endings	"Art House & International, Comedy, Drama"
Happy Feet	"Animation, Comedy, Kids & Family"
Happy Feet Two	"Animation, Art House & International, Kids & Family"
"Happy, Happy"	"Art House & International, Comedy, Special Interest"
Happy Here and Now	"Drama, Mystery & Suspense"
Happy People: A Year in the Taiga	"Art House & International, Documentary, Special Interest"
"Happy, Texas"	Comedy
Happy Valley	"Documentary, Drama"
HappyThankYouMorePlease	Comedy
Hara-Kiri: Death of a Samurai	"Action & Adventure, Art House & International, Drama"
Harakiri	"Art House & International, Classics, Drama"
Harbinger Down	"Horror, Science Fiction & Fantasy"
Hard Breakers	Comedy
Hard Candy	"Drama, Horror, Mystery & Suspense"
Hard Core Logo	"Comedy, Drama, Musical & Performing Arts"
Hard Eight	Drama
Hard Rain	Action & Adventure
Hard Sell	"Comedy, Drama"
Hard Target	Action & Adventure
Hard Ticket to Hawaii	"Action & Adventure, Comedy, Mystery & Suspense"
Hard to be a God	Science Fiction & Fantasy
Hard to Kill	"Action & Adventure, Drama, Mystery & Suspense"
The Hard Way	"Action & Adventure, Comedy"
The Hard Word	"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense"
Hardball	"Comedy, Drama"
Hardcore Henry	"Action & Adventure, Science Fiction & Fantasy"
The Harder They Come	"Classics, Drama"
Hardware	"Action & Adventure, Horror, Science Fiction & Fantasy"
Hardware Wars	Comedy
Hari Kondabolu: Warn Your Relatives	Comedy
Harlem Aria	"Comedy, Drama"
Harlem Nights	"Action & Adventure, Comedy"
Harley Davidson and the Marlboro Man	Action & Adventure
Harmonium (Fuchi ni tatsu)	"Art House & International, Drama"
Harmontown	"Comedy, Documentary, Special Interest"
Harold & Kumar Escape from Guantanamo Bay	Comedy
Harold & Kumar Go to White Castle	"Action & Adventure, Comedy"
Harold And Lillian: A Hollywood Love Story	Documentary
Harold and Maude	"Classics, Comedy, Romance"
Harold's Going Stiff	"Comedy, Horror"
Harper (The Moving Target)	"Drama, Mystery & Suspense"
Harpoon	"Art House & International, Comedy, Horror"
Harrison's Flowers	"Art House & International, Drama"
Harry and the Hendersons	"Comedy, Kids & Family"
Harry and Walter Go to New York	Comedy
Harry Benson: Shoot First	Documentary
Harry Brown	"Art House & International, Drama, Mystery & Suspense"
Harry Dean Stanton: Partly Fiction	"Documentary, Television"
Harry Potter and the Chamber of Secrets	"Kids & Family, Science Fiction & Fantasy"
Harry Potter and the Deathly Hallows - Part 1	"Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy"
Harry Potter and the Deathly Hallows - Part 2	"Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy"
Harry Potter and the Goblet of Fire	"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
Harry Potter and the Half-Blood Prince	"Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy"
Harry Potter and the Order of the Phoenix	"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy"
Harry Potter and the Prisoner of Azkaban	"Kids & Family, Science Fiction & Fantasy"
Harry Potter and the Sorcerer's Stone	"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
Harsh Times	"Action & Adventure, Drama"
Hart's War	Drama
Harvard Beats Yale 29-29	"Documentary, Sports & Fitness"
Harvard Man	"Comedy, Drama"
Harvest	"Drama, Romance"
Harvey	"Classics, Comedy, Drama, Science Fiction & Fantasy"
The Harvey Girls	"Classics, Comedy, Musical & Performing Arts, Western"
Hasan Minhaj: Homecoming King	Comedy
Ha-Sodot (The Secrets)	"Art House & International, Drama, Gay & Lesbian"
Hatari!	"Action & Adventure, Classics, Comedy, Drama"
Hatchet	Horror
Hatchet for the Honeymoon (Il rosso segno della follia)	"Art House & International, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Hatchet II	"Action & Adventure, Comedy, Horror, Mystery & Suspense"
Hatchet III	Horror
Hate Crime	"Drama, Mystery & Suspense, Gay & Lesbian"
Hateship Loveship	"Comedy, Drama"
Hating Breitbart	"Documentary, Special Interest"
Haunt	Horror
Haunt	"Horror, Mystery & Suspense"
Dark House	"Drama, Horror, Mystery & Suspense"
The Haunted Mansion	"Comedy, Horror, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy"
The Haunted Palace	Horror
The Haunted World of El Superbeasto	"Action & Adventure, Animation, Comedy, Horror, Mystery & Suspense"
Haunter	"Horror, Mystery & Suspense"
Haunters: The Art of the Scare	"Documentary, Horror"
The Haunting of Molly Hartley	"Drama, Mystery & Suspense"
House (Hausu)	"Art House & International, Comedy, Horror, Science Fiction & Fantasy, Special Interest"
Hav Plenty	"Comedy, Romance"
Hava Nagila: The Movie	"Documentary, Drama, Special Interest"
Havana Motor Club	"Documentary, Drama, Sports & Fitness"
Havoc	Drama
Hawking	"Documentary, Special Interest"
Häxan (Häxan: Witchcraft Through the Ages) (The Witches)	Horror
Haywire	"Action & Adventure, Drama, Mystery & Suspense"
He Got Game	Drama
He Knows You're Alone	Horror
"He Loves Me, He Loves Me Not"	"Art House & International, Comedy, Drama, Mystery & Suspense"
He Named Me Malala	Documentary
"He Said, She Said"	"Comedy, Drama, Romance"
He Walked by Night	"Classics, Drama, Mystery & Suspense"
He Was a Quiet Man	"Art House & International, Comedy, Drama"
Head Above Water	"Art House & International, Comedy, Drama, Mystery & Suspense"
Head Count	"Horror, Mystery & Suspense, Science Fiction & Fantasy"
Head of State	Comedy
Head On	"Art House & International, Drama"
Headhunters	"Action & Adventure, Art House & International, Mystery & Suspense"
Headshot	"Art House & International, Mystery & Suspense, Special Interest"
Headshot	"Action & Adventure, Art House & International, Drama, Mystery & Suspense"
Headspace	"Documentary, Horror, Musical & Performing Arts"
Heal the Living (Réparer les vivants)	"Art House & International, Drama"
Hear My Song	"Comedy, Drama"
Hear No Evil	Mystery & Suspense
Hearing Is Believing	Documentary
Heart of Glass (Herz aus Glas)	"Art House & International, Drama, Special Interest"
Heart Condition	"Comedy, Science Fiction & Fantasy"
The Heart Is a Lonely Hunter	"Classics, Drama"
Heart of a Dog	Documentary
Neil Young: Heart of Gold	"Documentary, Musical & Performing Arts"
"Question humaine, La, (Heartbeat Detector)"	"Art House & International, Drama, Mystery & Suspense"
Heartbeeps	"Comedy, Science Fiction & Fantasy"
Heartbreak Ridge	"Action & Adventure, Drama"
Heartburn	"Comedy, Drama, Romance"
Heartless	"Drama, Horror, Science Fiction & Fantasy"
Heartlock	Drama
Hearts and Minds	Documentary
Hearts Beat Loud	"Comedy, Drama"
Hearts in Atlantis	"Drama, Mystery & Suspense"
Hearts of Darkness: A Filmmaker's Apocalypse	"Documentary, Special Interest, Television"
Hearts of Fire	"Drama, Musical & Performing Arts"
