Percy Jackson & the Olympians: The Lightning Thief	"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
The Fly	"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy"
The Fly	"Drama, Horror, Science Fiction & Fantasy"
Flying Tigers	"Action & Adventure, Classics, Drama"
Footloose	"Drama, Musical & Performing Arts, Romance"
The Four Feathers	"Action & Adventure, Art House & International, Classics"
Frantic	"Action & Adventure, Drama, Mystery & Suspense"
Freaky Friday	"Comedy, Kids & Family, Science Fiction & Fantasy"
Fright Night	Horror
From Here to Eternity	"Classics, Drama, Romance"
Frosty the Snowman	"Animation, Kids & Family"
The Fugitive	Drama
Fun with Dick and Jane	Comedy
Funny Farm	Comedy
The Fury	"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest)	"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Gallipoli	"Art House & International, Drama"
The Gambler	"Classics, Drama"
Game of Death	"Action & Adventure, Art House & International"
The General	"Comedy, Drama, Romance"
The Getaway	"Action & Adventure, Classics, Drama"
Girls! Girls! Girls!	"Classics, Comedy, Musical & Performing Arts, Special Interest, Romance"
Gloria	"Action & Adventure, Comedy, Drama, Mystery & Suspense"
Glory	Drama
Go West	"Classics, Comedy, Musical & Performing Arts, Western"
Gone in 60 Seconds	"Action & Adventure, Cult Movies, Drama, Mystery & Suspense"
The Goodbye Girl	"Comedy, Romance"
"Goodbye, Mr. Chips"	"Art House & International, Classics, Comedy, Drama, Romance"
The Great Gatsby	"Classics, Drama, Romance"
The Great Race	"Action & Adventure, Classics, Comedy, Kids & Family, Romance"
The Green Berets	"Action & Adventure, Classics, Drama"
Grizzly	"Horror, Mystery & Suspense"
Gulliver's Travels	"Action & Adventure, Animation, Classics, Comedy, Kids & Family"
The Gunfighter	"Action & Adventure, Drama, Western"
Gung Ho	Comedy
Gypsy	"Classics, Musical & Performing Arts"
Hairspray	"Comedy, Drama, Musical & Performing Arts"
Halloween	"Horror, Mystery & Suspense"
Hamlet	"Classics, Drama"
